"logradouro";"tipo";"extensão";;"etapa1";;"etapa2";
"AVENIDA DOMINGOS POTOMATI";"arterial";1683,00;;0,00;;1683,00;
"ESTRADA ASSUMPTA SABATINI ROSSI";"arterial";998,00;;0,00;;998,00;
"ESTRADA DA  CAMA PATENTE";"arterial";2297,00;;0,00;;0,00;
"ESTRADA DO  ACAMPAMENTO DOS ENGENHEIROS";"arterial";1453,00;;0,00;;1453,00;
"ESTRADA DOS  ALVARENGAS";"arterial";6418,00;;0,00;;3800,00;
"ESTRADA DOS  CASA";"arterial";901,00;;0,00;;901,00;
"ESTRADA GALVÃO BUENO";"arterial";357,00;;0,00;;357,00;
"ESTRADA DO  PONEY CLUB";"coletora";2488,00;;0,00;;0,00;
"RUA JOSUÉ DE CASTRO";"coletora";584,00;;0,00;;584,00;
"RUA FREI TITO DE ALENCAR LIMA";"coletora";195,00;;0,00;;195,00;
"RUA SANTO DIAS DA SILVA";"coletora";263,00;;0,00;;263,00;
"ALAMEDA DAS  AMEIXEIRAS";"local";424,00;;0,00;;424,00;
"ALAMEDA DAS  AVENCAS";"local";76,00;;0,00;;76,00;
"ALAMEDA DAS  GLICÍNIAS";"local";70,00;;0,00;;70,00;
"ALAMEDA DAS  PARREIRAS";"local";706,00;;0,00;;706,00;
"ALAMEDA DOS  PINHEIRAIS";"local";690,00;;0,00;;690,00;
"ALAMEDA FLOR DE PESSEGUEIRO";"local";164,00;;0,00;;164,00;
"AVENIDA ANTÔNIO TONETTO";"local";363,00;;0,00;;363,00;
"AVENIDA CARMELO MAMMANA";"local";307,00;;0,00;;307,00;
"AVENIDA GUATEMALA";"local";378,00;;0,00;;378,00;
"AVENIDA JUAREZ TAVORA";"local";328,00;;0,00;;328,00;
"AVENIDA LAURA";"local";400,00;;0,00;;400,00;
"AVENIDA MARECHAL BERNARD MONTGOMERY";"local";1031,00;;0,00;;1031,00;
"AVENIDA MARIO ALBERTO MARCHI";"local";419,00;;0,00;;419,00;
"AVENIDA MONTEMOR";"local";539,00;;0,00;;539,00;
