"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"ESTRADA GALVÃO BUENO";"arterial";5.443,00;;3084,09;;2358,91
"ESTRADA ASSUMPTA SABATINI ROSSI";"arterial";760,00;;0,00;;0,00
"RUA LUIGI BATTISTINI";"arterial";970,00;;0,00;;0,00
"AVENIDA VITOR BRECHERET";"coletora";352,00;;0,00;;352,00
"ESTRADA MARCO POLO";"coletora";916,00;;0,00;;916,00
"RUA BELA VISTA (JARDIM DA REPRESA)";"coletora";1.206,00;;0,00;;1206,00
"RUA FERNANDO PESSOA";"coletora";488,00;;0,00;;488,00
"RUA MARINGÁ (JARDIM DA REPRESA)";"coletora";690,00;;0,00;;690,00
"ALAMEDA DAS PAINEIRAS (VILA DO BOSQUE)";"local";202,00;;0,00;;202,00
"AVENIDA ÂNGELO DEMARCHI";"local";1.196,00;;0,00;;1.196,00
"ESTRADA ARTHUR MARSON";"local";349,00;;0,00;;0,00
"ESTRADA JOSÉ MOURA";"local";1.443,00;;0,00;;1.443,00
"ESTRADA LUIZ MARSON";"local";986,00;;0,00;;0,00
"ESTRADA MARCO POLO";"local";1.729,00;;0,00;;1.729,00
"PASSAGEM DA  ÁRVORE (NÚCLEO BATISTINI)";"local";372,00;;0,00;;0,00
"PASSAGEM DA  CONQUISTA (BATISTINI)";"local";316,00;;0,00;;0,00
"PASSAGEM VIANINHA (NÚCLEO BATISTINI)";"local";23,00;;0,00;;23,00
"RUA ACRISIATAS";"local";195,00;;0,00;;195,00
"RUA ÁGUAS DE PRATA";"local";180,00;;0,00;;0,00
"RUA ÁGUAS DE SANTA BÁRBARA";"local";321,00;;0,00;;0,00
"RUA ÁGUAS DE SANTA CLARA";"local";318,00;;0,00;;0,00
"RUA AMÁBILE GRASIOTIN GRASSIOTTO";"local";268,00;;0,00;;268,00
"RUA AMABILE MASINI ORTEGA";"local";707,00;;0,00;;707,00
"RUA ANITA MALFATTI";"local";570,00;;0,00;;570,00
"RUA ANTÔNIA MARIA SALATIEL";"local";76,00;;0,00;;76,00
"RUA ANTÔNIA MARIANA";"local";88,00;;0,00;;88,00
"RUA ANTONIO SIDNEI GERBELLI";"local";453,00;;0,00;;453,00
"RUA APÓSTOLOS";"local";489,00;;0,00;;489,00
"RUA ARACATI";"local";384,00;;0,00;;384,00
"RUA AUGUSTO VENTURINI";"local";348,00;;0,00;;348,00
"RUA CANAÃ (JARDIM NOVA CANAÃ)";"local";486,00;;0,00;;486,00
"RUA CANADÁ (JARDIM UIRIÇABA)";"local";240,00;;0,00;;240,00
"RUA CAPIVARI (JARDIM DA REPRESA)";"local";251,00;;0,00;;251,00
"RUA CARLOS ZIMMERMANN";"local";386,00;;0,00;;386,00
"RUA CARMEN MIRANDA";"local";221,00;;0,00;;221,00
"RUA CASIMIRO DE ABREU";"local";61,00;;0,00;;61,00
"RUA CASSIANO RICARDO";"local";381,00;;0,00;;381,00
"RUA CEARÁ MIRIM";"local";339,00;;0,00;;339,00
"RUA CORINTHIOS";"local";153,00;;0,00;;153,00
"RUA CORREIA (BATISTINI)";"local";96,00;;0,00;;96,00
"RUA COSMOS";"local";56,00;;0,00;;56,00
"RUA COTEGIPE (PARQUE IMIGRANTES)";"local";1.339,00;;0,00;;1.339,00
"RUA CURITIBA";"local";489,00;;0,00;;489,00
"RUA CYRILLO PELOSINI";"local";1.479,00;;0,00;;1.479,00
"RUA DA  FONTE";"local";212,00;;0,00;;212,00
"RUA DA  PASSARELA";"local";466,00;;0,00;;466,00
"RUA DAS  AROEIRAS (REAL PARQUE)";"local";160,00;;0,00;;160,00
"RUA DAS  PITANGUEIRAS (REAL PARQUE)";"local";128,00;;0,00;;128,00
"RUA DAS FLORES - BATISTINI";"local";865,00;;0,00;;0,00
"RUA DEOCLÉCIO ALVES MOREIRA";"local";317,00;;0,00;;317,00
"RUA DO  ACRE";"local";182,00;;0,00;;182,00
"RUA DO  SOL NASCENTE";"local";89,00;;0,00;;89,00
"RUA DOS  IRMÃOS";"local";45,00;;0,00;;45,00
"RUA EUCLIDES ZANON";"local";332,00;;0,00;;332,00
"RUA EXPEDITO FERREIRA DE BRITO";"local";42,00;;0,00;;42,00
"RUA FAGUNDES VARELA";"local";54,00;;0,00;;54,00
"RUA FLOR DE ACÁCIA";"local";23,00;;0,00;;0,00
"RUA FLOR DE ACÁCIA";"local";39,00;;0,00;;0,00
"RUA FLORESTAL";"local";264,00;;0,00;;264,00
"RUA FLORIBELA";"local";39,00;;0,00;;39,00
"RUA FLÓRIDA (JARDIM UIRIÇABA)";"local";150,00;;0,00;;150,00
"RUA FRANCISCO AFONSO RIGUEIRA";"local";194,00;;0,00;;194,00
"RUA FRANCISCO SOPRANO";"local";46,00;;0,00;;46,00
"RUA GÁLATAS";"local";182,45;;0,00;;182,45
