"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA OMAR DAIBERT";"coletora";473,00;;0,00;;473,00
"RUA JOSÉ D'ÂNGELO";"coletora";595,00;;0,00;;595,00
"AVENIDA BEETHOVEN";"local";243,00;;0,00;;243,00
"AVENIDA IVANOVSKY";"local";155,00;;0,00;;155,00
"AVENIDA MANAUS";"local";240,00;;0,00;;240,00
"AVENIDA NICOLA DEMARCHI";"local";3.713,00;;3713,00;;0,00
"AVENIDA NICOLA DEMARCHI";"local";4126,00;;0,00;;4126,00
"ESTRADA BRASILIO DE LIMA";"local";15231,00;;0,00;;15231,00
"ESTRADA DO  VERGUEIRO";"local";835,00;;0,00;;835,00
"ESTRADA RIBEIRÃO DO SOLDADO";"local";5906,00;;0,00;;5628,47
"ESTRADA SEM NOME";"local";7500,00;;0,00;;7500,00
"RUA 3 DE DEZEMBRO";"local";274,00;;0,00;;274,00
"RUA AGOSTINHO MASINI";"local";190,00;;0,00;;0,00
"RUA ALBINA SILVA";"local";198,09;;0,00;;0,00
"RUA ANTONIO FRANCISCO ZANELLATO";"local";470,00;;0,00;;0,00
"RUA ANTÔNIO MENEGHETTI";"local";459,00;;0,00;;0,00
"RUA ARCO-ÍRIS";"local";352,00;;0,00;;352,00
"RUA AUGUSTO ROSA DA SILVA";"local";59,00;;0,00;;59,00
"RUA BERTHA LUTZ";"local";145,00;;0,00;;145,00
"RUA BODAS DE PRATA";"local";30,00;;0,00;;30,00
"RUA CAIANA";"local";61,00;;0,00;;61,00
"RUA CHOPIN";"local";39,00;;0,00;;39,00
"RUA COPÉLIA";"local";39,00;;0,00;;39,00
"RUA CUNHÃ";"local";187,00;;0,00;;187,00
"RUA DANÚBIO AZUL";"local";40,00;;0,00;;40,00
"RUA DEBÉLIS";"local";52,00;;0,00;;52,00
"RUA DO  TESOURO";"local";135,00;;0,00;;135,00
"RUA EFRAIM RAMOS DA SILVA";"local";214,00;;0,00;;214,00
"RUA EMA CIPRIANI BRUNI";"local";382,00;;0,00;;0,00
"RUA EMÍLIO STUCHI";"local";100,00;;0,00;;0,00
"RUA FOLHAS DA MANHÃ";"local";52,00;;0,00;;52,00
"RUA GIUSEPPE SABATINI";"local";60,00;;0,00;;0,00
"RUA HUMAITÁ";"local";573,00;;0,00;;573,00
"RUA IRACEMA (VILA SANTOS DUMONT)";"local";520,00;;0,00;;520,00
"RUA JACINTO SIMIONATO FILHO";"local";363,00;;0,00;;0,00
"RUA JOÃO INÁCIO DA SILVA";"local";91,00;;0,00;;91,00
"RUA JOÃO TURBAY";"local";100,00;;0,00;;0,00
"RUA DAS PALMEIRAS";"local";80,00;;0,00;;80,00
"RUA JOSÉ GOMES MORENO";"local";298,00;;0,00;;0,00
"RUA JÚLIO BARAZAL SALGADO";"local";393,00;;0,00;;0,00
"RUA JURUBEBA";"local";385,00;;0,00;;385,00
"RUA LAGUNA";"local";39,00;;0,00;;39,00
"RUA LUIZ DALMOLIN";"local";479,00;;0,00;;0,00
"RUA MANFREDO MEYER";"local";330,00;;0,00;;330,00
"RUA MANGUE SECO";"local";116,00;;0,00;;116,00
"RUA MARLI BEZERRA DA SILVA";"local";428,00;;428,00;;0,00
"RUA NICOLA FELTRIN";"local";448,00;;0,00;;0,00
"RUA PASTOR TITO RODRIGUES LINHARES";"local";178,00;;0,00;;0,00
"RUA PAVUNA";"local";53,00;;0,00;;53,00
