"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA CORAÇÃO EUCARÍSTICO DE JESUS";"local";420,00;;0,00;;420,00
"AVENIDA FRANCISCO FINCO";"local";1.119,00;;0,00;;1119,00
"ESTRADA DA  ROSEIRA";"local";837,00;;0,00;;837,00
"ESTRADA DAS  ANDORINHAS";"local";956,00;;0,00;;956,00
"ESTRADA DO  ALADINO";"local";620,00;;0,00;;620,00
"ESTRADA DO HAWAI (TRECHO)";"local";2.600,00;;0,00;;950,00
"ESTRADA DO  MORRO GRANDE";"local";1.462,00;;0,00;;1462,00
"ESTRADA DO  RIO ACIMA";"local";2.948,00;;0,00;;2948,00
"ESTRADA DO RIO GRANDE";"local";386,00;;0,00;;386,00
"ESTRADA DOS  CAMPONESES";"local";775,00;;0,00;;775,00
"ESTRADA HENRIQUE ROSA";"local";1.705,00;;1705,00;;0,00
"ESTRADA PARTICULAR JOSÉ MARION (TRECHO)";"local";538,00;;0,00;;225,00
"RUA ÂNGELO BISOGNINI FILHO";"local";234,00;;0,00;;234,00
"RUA ANHANGUERA";"local";71,00;;0,00;;71,00
"RUA ANSELMO VENZOL";"local";86,00;;0,00;;0,00
"RUA ANTÔNIO BISOGNINI";"local";284,00;;0,00;;284,00
"RUA ANTONIO DEMARCHI- GAIA";"local";289,00;;0,00;;289,00
"RUA ATÍLIO JORGE SALUM";"local";280,00;;0,00;;280,00
"RUA BELMIRO PARDO ROMAN";"local";284,00;;0,00;;284,00
"RUA BENTO RIBEIRO DA SILVA";"local";103,00;;0,00;;103,00
"RUA CARLOS PEZZOLO JUNIOR";"local";67,00;;67,00;;0,00
"RUA DOIS";"local";226,00;;0,00;;226,00
"RUA FELICE ROSSI";"local";704,00;;0,00;;704,00
"RUA FORTUNATO BENEVENUTO FINCO";"local";624,00;;0,00;;624,00
"RUA FRANCISCO BERNARDELLO";"local";342,00;;0,00;;342,00
"RUA FRANCISCO MARIOTTO";"local";196,00;;0,00;;196,00
"RUA FRANCISCO ONÉSIMO MARTINS";"local";117,00;;0,00;;117,00
"RUA GELSON MOREIRA DE SOUZA";"local";190,00;;0,00;;190,00
"RUA GIUSEPPE PESSOTTI";"local";309,00;;0,00;;309,00
"RUA GOITACAZES";"local";130,00;;0,00;;130,00
"RUA GORDON FOX RULE";"local";341,00;;0,00;;341,00
"RUA JOAQUIM MASCARENHAS";"local";292,00;;0,00;;292,00
"RUA JOSÉ FARHAT";"local";482,00;;0,00;;482,00
"RUA JÚLIA A. TEPEDINO GUERRA";"local";203,00;;0,00;;203,00
"RUA LA PAZ";"local";54,00;;0,00;;54,00
"RUA LUIZA VIEZZER FINCO";"local";230,00;;0,00;;230,00
"RUA MARIA CATARINA ZAIA FINCO";"local";105,00;;0,00;;105,00
"RUA MARIA DE LOURDES NAPOLITANO";"local";202,00;;0,00;;202,00
"RUA MARIA MAGDALENA VENZOL";"local";477,00;;0,00;;477,00
"RUA MÁRIO PAULO AUTUORI";"local";1.044,00;;0,00;;1044,00
"RUA MIGUEL GUERRA";"local";561,00;;0,00;;561,00
"RUA ODAIR VIEIRA";"local";301,00;;0,00;;301,00
"RUA PADRE BENTO DIAS PACHECO";"local";658,00;;0,00;;658,00
"RUA PALMERINA ODÍLIA F. GUASELLI";"local";300,00;;0,00;;300,00
"RUA PAULINO CONRADO";"local";171,00;;0,00;;171,00
"RUA PRIMO BERNARDELLO";"local";66,00;;0,00;;66,00
"RUA PROFESSOR OSWALDO CONEGLIAN";"local";145,00;;0,00;;145,00
"RUA ROSA INEZ BRUNI PINCHIARO";"local";869,00;;0,00;;869,00
"RUA ROSÂNGELA BATISTA SILVA";"local";190,00;;0,00;;190,00
"RUA RUGERO FINCO";"local";54,00;;0,00;;54,00
"RUA SANTO EXPEDITO";"local";239,00;;0,00;;239,00
"RUA TRINCA-FERRO";"local";33,00;;0,00;;33,00
"RUA TROPICAL";"local";404,00;;235,00;;404,00
"RUA TUPINIQUINS";"local";187,00;;0,00;;187,00
"RUA TURIASSÚ";"local";183,00;;0,00;;183,00
"RUA UBIRAJARA";"local";243,00;;0,00;;243,00
"RUA VITÓRIA ZAIA VICENTIN";"local";299,00;;0,00;;299,00
