X,Y,Name,layer,path
-46.5442048550157,-23.8099634409065,Balsa - Bairro Capivari,Balsa - Bairro Capivari Balsa - Bairro Capivari.kml,/media/fernando/MECATE1TB/novos_equipamentos/Balsa - Bairro Capivari.kml|layername=Balsa - Bairro Capivari.kml
-46.542878252796,-23.8050327051943,Balsa - Bairro Fincos,Balsa - Bairro Fincos Balsa - Bairro Fincos.kml,/media/fernando/MECATE1TB/novos_equipamentos/Balsa - Bairro Fincos.kml|layername=Balsa - Bairro Fincos.kml
-46.5809722222222,-23.6723197110406,Base de Segurança - Pauliceia - Av Lions x Rua Cesar Magnani,Base de Segurança - Pauliceia - Av Lions x Rua Cesar Magnani Base de Segurança - Pauliceia - Av Lions x Rua Cesar Magnani.kml,/media/fernando/MECATE1TB/novos_equipamentos/Base de Segurança - Pauliceia - Av Lions x Rua Cesar Magnani.kml|layername=Base de Segurança - Pauliceia - Av Lions x Rua Cesar Magnani.kml
-46.5943034471485,-23.8429490112942,Base de Segurança - Pós Balsas - Estrada do Rio Acima n°12.500,Base de Segurança - Pós Balsas - Santa Cruz - Estrada do Rio Acima n°12.500 Base de Segurança - Pós Balsas - Estrada do Rio Acima n°12.500.kml,/media/fernando/MECATE1TB/novos_equipamentos/Base de Segurança - Pós Balsas - Santa Cruz - Estrada do Rio Acima n°12.500.kml|layername=Base de Segurança - Pós Balsas - Estrada do Rio Acima n°12.500.kml
-46.6008152246074,-23.7423921177247,Base de Vigilancia - Estrada dos Alvarengas n° 5815,Base de Vigilancia - Estrada dos Alvarengas n° 5815 Base de Vigilancia - Estrada dos Alvarengas n° 5815.kml,/media/fernando/MECATE1TB/novos_equipamentos/Base de Vigilancia - Estrada dos Alvarengas n° 5815.kml|layername=Base de Vigilancia - Estrada dos Alvarengas n° 5815.kml
-46.5872683715609,-23.7133201997197,Caps AD Infanto Juvenil - Rua Jose Dias Donadelli n°190,Caps AD Infanto Juvenil - pós-balsas- Rua Jose Dias Donadelli n°190 Caps AD Infanto Juvenil - Rua Jose Dias Donadelli n°190.kml,/media/fernando/MECATE1TB/novos_equipamentos/Caps AD Infanto Juvenil - pós-balsas- Rua Jose Dias Donadelli n°190.kml|layername=Caps AD Infanto Juvenil - Rua Jose Dias Donadelli n°190.kml
-46.5986782420347,-23.844610474622,Casa de Triagem: Estrada do Rio Acima n° 12.965,Casa de Triagem Estrada do Rio Acima n° 12.965 Casa de Triagem Estrada do Rio Acima n° 12.965.kml,/media/fernando/MECATE1TB/novos_equipamentos/Casa de Triagem Estrada do Rio Acima n° 12.965.kml|layername=Casa de Triagem Estrada do Rio Acima n° 12.965.kml
-46.590961944118,-23.7729892914988,Coleta Seletiva - Bairro Balneária - Rua Manaus n°182,Coleta Seletiva - Bairro Balneária - Rua Manaus n°182 Coleta Seletiva - Bairro Balneária - Rua Manaus n°182.kml,/media/fernando/MECATE1TB/novos_equipamentos/Coleta Seletiva - Bairro Balneária - Rua Manaus n°182.kml|layername=Coleta Seletiva - Bairro Balneária - Rua Manaus n°182.kml
-46.6025239425471,-23.7718661012906,Coleta Seletiva - Bairro Batistini - Rua Ponta Grossa n°617,Coleta Seletiva - Bairro Batistini - Rua Ponta Grossa n°617 Coleta Seletiva - Bairro Batistini - Rua Ponta Grossa n°617.kml,/media/fernando/MECATE1TB/novos_equipamentos/Coleta Seletiva - Bairro Batistini - Rua Ponta Grossa n°617.kml|layername=Coleta Seletiva - Bairro Batistini - Rua Ponta Grossa n°617.kml
-46.5577445444243,-23.7498388888889,Coleta Seletiva - Botujuru - Av Nicola Demarchi n°1691,Coleta Seletiva - Botujuru - Av Nicola Demarchi n°1691 Coleta Seletiva - Botujuru - Av Nicola Demarchi n°1691.kml,/media/fernando/MECATE1TB/novos_equipamentos/Coleta Seletiva - Botujuru - Av Nicola Demarchi n°1691.kml|layername=Coleta Seletiva - Botujuru - Av Nicola Demarchi n°1691.kml
-46.5986964455542,-23.7413558975445,Coleta Seletiva - Estrada dos Alvarengas n° 6233,Coleta Seletiva - Estrada dos Alvarengas n° 6233 Coleta Seletiva - Estrada dos Alvarengas n° 6233.kml,/media/fernando/MECATE1TB/novos_equipamentos/Coleta Seletiva - Estrada dos Alvarengas n° 6233.kml|layername=Coleta Seletiva - Estrada dos Alvarengas n° 6233.kml
