"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA DOUTOR JOSE FORNARI";"arterial";531,00;;531,00;;0,00
"AVENIDA ALBERTO SCHWEITZER";"coletora";550,00;;550,00;;0,00
"RUA NOSSA SENHORA DA BOA VIAGEM";"coletora";770,00;;770,00;;0,00
"AVENIDA GENERAL BARRETO";"coletora";600,00;;600,00;;0,00
"AVENIDA FELIPE COMERCIO";"local";120,00;;120,00;;0,00
"AVENIDA FERNANDO FERRARI";"local";380,00;;380,00;;0,00
"PASS MORUNBI";"local";180,00;;180,00;;0,00
"RUA ROMILDO CEOLA";"local";150,00;;150,00;;0,00
"RUA ANGELINA SCOPEL PINOTTI";"local";450,00;;450,00;;0,00
"RUA AURELIANO DE SOUZA";"local";180,00;;180,00;;0,00
"RUA BARTIRA";"local";350,00;;350,00;;0,00
"RUA FRANCISCO TOSI";"local";200,00;;200,00;;0,00
"RUA ISABEL DE ANDRADE MAIA";"local";400,00;;400,00;;0,00
"RUA JESUS DE NAZARTH";"local";760,00;;760,00;;0,00
"RUA JOSÉ TAVARES DE BASTOS";"local";480,00;;480,00;;0,00
"RUA MONOEL DE LIMA";"local";150,00;;150,00;;0,00
"RUA PADRE LEO COMISSARI";"local";1100,00;;1100,00;;0,00
"RUA ROSA PACHECO";"local";288,00;;288,00;;0,00
"RUA AFONSO FURTADO DE MENDONÇA";"local";480,00;;480,00;;0,00
"RUA REGENTE LIMA E SILVA";"local";610,00;;610,00;;0,00
"RUA HOLANDA CAVALCANTI";"local";180,00;;180,00;;0,00
"RUA MINISTRO ADAUTO CARDOSO";"local";300,00;;300,00;;0,00
"RUA ABRAMO LUCHESI";"local";225,00;;225,00;;0,00
"RUA PADRE ANCHIETA";"local";150,00;;150,00;;0,00
"RUA ANTONIO GUERRA";"local";240,00;;240,00;;0,00
"RUA EÇA DE QUEIROZ";"local";260,00;;260,00;;0,00
"RUA ANTONIO PINCHIARI";"local";170,00;;170,00;;0,00
"RUA VICENTE M ROCHA";"local";160,00;;160,00;;0,00
