"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA DOS  FLAMINGOS";"arterial";531,00;;0,00;;0,00
"AVENIDA HUMBERTO DE ALENCAR CASTELO BRANCO";"arterial";1.691,00;;0,00;;0,00
"AVENIDA ISAAC AIZEMBERG";"arterial";3.249,00;;0,00;;3249,00
"AVENIDA JOSÉ ODORIZZI";"arterial";2.047,00;;0,00;;0,00
"AVENIDA MOINHO FABRINI";"arterial";1.804,00;;0,00;;1804,00
"AVENIDA ROBERT KENNEDY";"arterial";3.770,00;;0,00;;0,00
"RUA FLORIANO PEIXOTO";"arterial";197,00;;0,00;;0,00
"RUA HÉLIO MITICA";"arterial";198,00;;0,00;;0,00
"AVENIDA DAS  ARARAS";"coletora";1.310,00;;0,00;;1310,00
"RUA ANTÔNIO PEREIRA DE MATOS";"coletora";329,00;;0,00;;329,00
"RUA AUSTRÁLIA";"coletora";507,00;;0,00;;0,00
"RUA DOS  BICOS-DE-LACRE";"coletora";1.294,00;;0,00;;1294,00
"RUA DOS  CANELEIROS";"coletora";381,00;;0,00;;0,00
"RUA JOAQUIM SERRA";"coletora";328,00;;0,00;;328,00
"RUA MARIA CECÍLIA";"coletora";198,00;;0,00;;0,00
"RUA PIETRO GUAZZELLI";"coletora";237,00;;0,00;;0,00
"AVENIDA DAS  ANDORINHAS";"local";699,00;;0,00;;0,00
"AVENIDA EDILÚ";"local";804,00;;0,00;;804,00
"AVENIDA JOAQUIM GONÇALVES LEDO";"local";450,00;;0,00;;0,00
"AVENIDA ROSA AIZEMBERG";"local";759,00;;0,00;;759,00
"RUA 1822";"local";200,00;;0,00;;200,00
"RUA AFONSO PENA";"local";197,00;;0,00;;0,00
"RUA ALMIRANTE COCKRANE";"local";319,00;;0,00;;0,00
"RUA ALZIRA";"local";247,00;;0,00;;247,00
"RUA ANÉSIA";"local";120,00;;0,00;;120,00
"RUA ANTÔNIO CARLOS DE ANDRADA E SILVA";"local";281,00;;0,00;;281,00
"RUA ANTÔNIO CARLOS DE LIMA";"local";220,00;;0,00;;220,00
"RUA ARACI";"local";315,00;;0,00;;315,00
"RUA BOLÍVIA";"local";141,00;;0,00;;141,00
"RUA BUENO DE PAIVA";"local";216,00;;0,00;;216,00
"RUA CAIRBAR SCHUTEL";"local";59,00;;0,00;;0,00
"RUA CANADÁ";"local";193,00;;0,00;;0,00
"RUA CARLOS AYRES";"local";552,00;;0,00;;552,00
"RUA CÔNEGO LUIZ CATELLI";"local";328,00;;0,00;;328,00
"RUA COSTA RICA";"local";303,00;;0,00;;303,00
"RUA CUBA";"local";141,00;;0,00;;141,00
"RUA CUNHA MATOS";"local";130,00;;0,00;;130,00
"RUA DA  INDEPENDÊNCIA";"local";514,00;;0,00;;514,00
"RUA DAS  ARAPONGAS";"local";105,00;;0,00;;0,00
