"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA PIRAPORINHA";"arterial";3.964,00;;0,00;;0,00
"AVENIDA PADRE ANCHIETA";"arterial";1.156,00;;0,00;;1156,00
"PRAÇA SALVADOR ROSA";"arterial";230,00;;230,00;;0,00
"RUA BORGES DE MEDEIROS";"arterial";360,00;;0,00;;360,00
"AVENIDA SÃO PAULO";"coletora";1.596,00;;0,00;;1596,00
"RUA ALFREDO ANGELINI";"coletora";560,00;;0,00;;560,00
"RUA BORG WARNER";"coletora";586,00;;586,00;;0,00
"RUA BRASCOLA";"coletora";309,00;;309,00;;0,00
"RUA CECÍLIA";"coletora";502,00;;0,00;;502,00
"RUA NOVAIS TEIXEIRA";"coletora";224,00;;0,00;;224,00
"RUA OSWALD DE ANDRADE";"coletora";826,00;;826,00;;0,00
"RUA PINDORAMA";"coletora";942,00;;0,00;;350,00
"RUA PROFESSOR SEBASTIÃO FARIAS DE QUEIROZ";"coletora";218,00;;218,00;;0,00
"RUA RAQUIEL DA CUNHA";"coletora";176,00;;176,00;;0,00
"RUA SÉRGIO MILLIET";"coletora";848,00;;848,00;;0,00
"RUA SILVA BUENO";"coletora";444,00;;444,00;;0,00
"RUA WALDEMAR MARTINS FERREIRA";"coletora";540,00;;0,00;;540,00
"RUA WALFRIDO SILVA";"coletora";187,00;;0,00;;187,00
"PRAÇA ATÍLIO HILÁRIO SUSTER";"local";76,00;;76,00;;0,00
"PRAÇA EMÍLIO ESCUDERO";"local";246,00;;0,00;;0,00
"PRAÇA MARIA TUDOR";"local";222,00;;222,00;;0,00
"PRAÇA SALVADOR ROSA";"local";34,92;;34,92;;0,00
"RUA ABILIO CÉSAR";"local";67,00;;0,00;;67,00
"RUA ADOLFO MONTEIRO";"local";229,00;;0,00;;229,00
"RUA AIURUOCA";"local";64,00;;0,00;;64,00
"RUA ALMEIDA BRANDÃO";"local";308,00;;308,00;;0,00
"RUA ALMIR CASTRIOTTO";"local";135,00;;135,00;;0,00
"RUA AMADEU ROCCO";"local";123,00;;0,00;;123,00
"RUA ANACLETO CAMPANELLA";"local";282,00;;0,00;;0,00
"RUA ANGEL SERRANO FERNANDES";"local";255,00;;255,00;;0,00
"RUA ANÍBAL MACHADO";"local";97,00;;0,00;;97,00
"RUA ANTENOR NASCENTES";"local";84,00;;0,00;;84,00
"RUA ARARAQUARA";"local";580,00;;0,00;;580,00
"RUA ARNALDO MARGONARI";"local";199,00;;0,00;;199,00
"RUA ARTUR PONTUAL";"local";172,00;;172,00;;0,00
"RUA AUGUSTO ERNANI";"local";334,00;;0,00;;334,00
"RUA BAHIA";"local";308,00;;308,00;;0,00
"RUA BÉLGICA";"local";273,00;;0,00;;273,00
"RUA BELO HORIZONTE";"local";273,00;;0,00;;100,00
"RUA BORBA GATO";"local";226,00;;0,00;;0,00
"RUA BOTUCATU";"local";323,00;;0,00;;323,00
"RUA BRUNO ANGELI";"local";80,00;;0,00;;80,00
"RUA CAPISTRANO DE ABREU";"local";290,00;;290,00;;0,00
"RUA CARLOS ESTEVÃO";"local";247,00;;0,00;;0,00
"RUA CARLOS PASQUALE";"local";271,00;;271,00;;0,00
"RUA CARLOS RIZZINI";"local";108,00;;0,00;;108,00
"RUA CELSO TADEU DOS SANTOS";"local";158,00;;0,00;;158,00
"RUA CIDADE DE PIRMASENS";"local";101,00;;0,00;;101,00
"RUA CLEONICE CÂNDIDA FANANI";"local";196,00;;196,00;;0,00
"RUA CLÓVIS BEVILACQUA";"local";278,00;;278,00;;0,00
"RUA COSTA AGUIAR";"local";208,00;;208,00;;0,00
"RUA COSTA ARAÚJO";"local";105,00;;0,00;;0,00
"RUA CRUZADA SANTA";"local";189,00;;189,00;;0,00
"RUA DALVA DE OLIVEIRA";"local";275,00;;0,00;;275,00
"RUA DELMIRO GOUVEIA";"local";123,00;;0,00;;123,00
"RUA DOMINGOS BERTAGLIA";"local";139,00;;139,00;;0,00
"RUA EDMUNDO BARRETO PINTO";"local";115,00;;115,00;;0,00
"RUA EDNO ZENORINI";"local";81,00;;0,00;;81,00
"RUA EDSON CARNEIRO";"local";101,00;;101,00;;0,00
"RUA EGÍDIO MICHAELSEN";"local";123,00;;123,00;;0,00
"RUA ELIAS FERES GERAISSATI";"local";223,00;;0,00;;223,00
"RUA EUGÊNIO GOMES";"local";148,00;;148,00;;0,00
"RUA FREI DAMIÃO";"local";692,00;;0,00;;692,00
"RUA GERALDO JOSÉ DE ALMEIDA";"local";91,00;;91,00;;0,00
"RUA GOIS MONTEIRO";"local";173,00;;0,00;;173,00
"RUA GUILHERME";"local";165,00;;0,00;;165,00
"RUA HAYDEÉ";"local";299,00;;0,00;;299,00
"RUA HÉLIO VIANA";"local";120,00;;120,00;;0,00
"RUA HENRIQUE DIAS";"local";283,00;;0,00;;283,00
"RUA HERBERT MOSES";"local";556,00;;0,00;;556,00
"RUA IRACEMA (JORDANÓPOLIS)";"local";132,00;;0,00;;132,00
"RUA IVAN FLEURY MEIRELLES -  JURISTA";"local";312,00;;0,00;;312,00
"RUA IZIDORO VENZOL";"local";97,00;;0,00;;97,00
"RUA JOÃO B. AZEVEDO MARQUES";"local";162,00;;162,00;;0,00
"RUA JOÃO BORGES JUNIOR";"local";169,00;;0,00;;169,00
"RUA JORACY CAMARGO";"local";291,00;;291,00;;0,00
"RUA JOSÉ PIRES DE PAULA";"local";92,00;;0,00;;92,00
"RUA JULIETA";"local";325,00;;0,00;;325,00
"RUA LEONARDO DA VINCI";"local";129,00;;129,00;;0,00
"RUA LINO COUTINHO";"local";186,00;;0,00;;0,00
"RUA LOPES DE CAMARGO";"local";42,00;;0,00;;42,00
"RUA LUIS ALONSO PEREZ";"local";446,00;;0,00;;466,00
"RUA LUPICÍNIO RODRIGUES";"local";273,00;;273,00;;0,00
"RUA MANGER";"local";160,00;;0,00;;160,00
"RUA MARGARIDA DUSI ANGELI";"local";170,00;;0,00;;170,00
"RUA MARIA BORDIN";"local";132,00;;0,00;;132,00
"RUA MARIA GERTRUDES";"local";42,00;;0,00;;42,00
"RUA MARIA OLINDA";"local";115,00;;0,00;;115,00
"RUA MÁRIO JÚLIO RODRIGUES";"local";114,00;;0,00;;114,00
"RUA MARTIM SILVEIRA";"local";150,00;;150,00;;0,00
"RUA MARTINS FONTES";"local";403,00;;403,00;;0,00
"RUA MÉJICA L. SEQUEIRA DE RODRIGUES";"local";485,00;;485,00;;0,00
"RUA MIGUEL FEIJÓ";"local";43,00;;0,00;;43,00
"RUA MIGUEL GUSTAVO";"local";145,00;;145,00;;0,00
"RUA MILTON CAMPOS";"local";170,00;;0,00;;170,00
"RUA MILTON RIBEIRO";"local";147,00;;0,00;;147,00
"RUA MOACIR PADILHA";"local";421,00;;421,00;;0,00
"RUA NOEL NUTELS";"local";399,00;;0,00;;399,00
"RUA ODUVALDO VIANA";"local";124,00;;0,00;;124,00
"RUA OSWALDO CRUZ";"local";390,00;;0,00;;390,00
"RUA PADRE CARMELO";"local";110,00;;0,00;;110,00
"RUA PADRE GONÇALVES LIMA";"local";44,00;;0,00;;44,00
"RUA PAES LEME";"local";178,00;;178,00;;0,00
"RUA PAGANO SOBRINHO";"local";173,00;;0,00;;0,00
"RUA PARÁ";"local";196,00;;196,00;;0,00
"RUA PATRÍCIO TEIXEIRA";"local";115,00;;115,00;;0,00
"RUA PAULO MAGALHÃES";"local";215,00;;215,00;;0,00
"RUA PERCY LAU";"local";136,00;;0,00;;136,00
"RUA PIRATININGA";"local";284,00;;284,00;;0,00
"RUA PIXINGUINHA";"local";91,00;;91,00;;0,00
"RUA QUINTANILHA RIBEIRO";"local";171,00;;171,00;;0,00
"RUA RAIMUNDO DA MOTA CORREIA";"local";230,00;;0,00;;230,00
"RUA RANGEL DE CARVALHO";"local";121,00;;121,00;;0,00
"RUA RIO DE JANEIRO";"local";314,00;;0,00;;314,00
"RUA RODRIGUES DO VALE";"local";171,00;;171,00;;0,00
"RUA SANTA TEREZINHA";"local";390,00;;0,00;;390,00
"RUA SÃO SEBASTIÃO DA GRAMA";"local";185,00;;185,00;;0,00
"RUA SILAS DE OLIVEIRA";"local";123,00;;123,00;;0,00
"RUA SOUSA DANTAS";"local";115,00;;115,00;;0,00
"RUA TELMA";"local";62,00;;0,00;;62,00
"RUA VENTURINO VENTURINI";"local";180,00;;0,00;;180,00
"RUA VICTÓRIO VENZOL";"local";64,00;;0,00;;0,00
"RUA VITOR MEIRELES";"local";108,00;;108,00;;0,00
"RUA WALTER DARÉ";"local";159,00;;0,00;;159,00
"TRAVESSA PADRE ANCHIETA";"local";132,00;;132,00;;0,00
"TRAVESSA PIRATININGA";"local";92,00;;92,00;;0,00
