"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA LUIZ PEQUINI";"arterial";1.764,00;;0,00;;0,00
"AVENIDA PERY RONCHETTI";"arterial";1.056,00;;0,00;;0,00
"PASSAGEM DOM PEDRO DE ALCÂNTARA (VILA SÃO PEDRO)";"arterial";549,00;;3249,00;;0,00
"PASSAGEM DOM PEDRO DE ALCÂNTARA (VILA SÃO PEDRO)";"arterial";1.207,00;;0,00;;0,00
"RUA DOS  VIANAS";"arterial";1.021,00;;0,00;;0,00
"RUA TIRADENTES";"arterial";647,00;;0,00;;0,00
"ALAMEDA DOM PEDRO DE ALCÂNTARA";"coletora";510,00;;1310,00;;0,00
"AVENIDA PEDRO MENDES";"coletora";2.752,00;;0,00;;0,00
"AVENIDA SÉRGIO TREVISAN";"coletora";611,00;;0,00;;0,00
"ESTRADA DO  MONTANHÃO";"coletora";853,00;;1294,00;;0,00
"RUA ALMEIDA LEME";"coletora";336,00;;0,00;;0,00
"RUA HELENA APARECIDA SECOL";"coletora";154,00;;0,00;;0,00
"AVENIDA JARDIM (VILA ESPERANÇA)";"local";415,00;;0,00;;0,00
"AVENIDA LONDRES";"local";281,00;;0,00;;0,00
"AVENIDA NELSON MANDELA";"local";664,00;;0,00;;0,00
"AVENIDA NELSON MANDELA - PROLONGAMENTO";"local";108,00;;0,00;;0,00
"ESTRADA CARLOS AUGUSTO (VILA SABESP)";"local";345,00;;0,00;;0,00
"ESTRADA DA  PEDRA BRANCA";"local";571,00;;0,00;;0,00
"ESTRADA DO  FELISBERTO";"local";614,00;;0,00;;0,00
"ESTRADA DO  VERGUEIRO";"local";24,00;;0,00;;0,00
"PASSAGEM APARECIDA (VILA AREIÃO)";"local";483,00;;0,00;;0,00
"PASSAGEM DA  BIQUINHA (VILA DA BIQUINHA)";"local";187,00;;0,00;;0,00
"PASSAGEM DO  CRUZEIRO (VILA AREIÃO)";"local";558,00;;0,00;;0,00
"PASSAGEM DO  SOSSEGO";"local";418,00;;0,00;;0,00
"PASSAGEM DOS  CAFEZAIS";"local";31,00;;0,00;;0,00
"PASSAGEM MARIA CANDIDA DE JESUS";"local";81,24;;0,00;;0,00
"PASSAGEM NOSSA SENHORA APARECIDA (NÚCLEO VILA AREIÃO)";"local";526,00;;0,00;;0,00
"PASSAGEM SARACANTAN (NÚCLEO SARACANTAN)";"local";141,00;;0,00;;0,00
"RUA 15 DE NOVEMBRO (VILA SÃO PEDRO)";"local";279,00;;0,00;;0,00
"RUA 18 DE ABRIL";"local";102,00;;0,00;;0,00
"RUA 18 DE OUTUBRO (VILA SÃO PEDRO)";"local";192,00;;0,00;;0,00
"RUA 1º DE AGOSTO";"local";189,00;;0,00;;0,00
"RUA 1º DE MAIO (VILA SÃO PEDRO)";"local";234,00;;0,00;;0,00
"RUA 21 DE ABRIL (VILA SÃO PEDRO)";"local";145,00;;0,00;;0,00
"RUA 25 DE JULHO";"local";167,00;;0,00;;0,00
"RUA 26 DE MAIO";"local";116,00;;0,00;;0,00
"RUA 27 DE AGOSTO (VILA SÃO PEDRO)";"local";224,00;;0,00;;0,00
"RUA 28 DE ABRIL";"local";219,00;;0,00;;0,00
"RUA 28 DE AGOSTO";"local";174,00;;0,00;;0,00
"RUA 28 DE JULHO";"local";123,00;;0,00;;0,00
"RUA 29 DE ABRIL";"local";96,00;;0,00;;0,00
"RUA 29 DE JUNHO";"local";212,00;;0,00;;0,00
"RUA 29 DE JUNHO";"local";212,00;;0,00;;0,00
"RUA 5 DE OUTUBRO";"local";210,00;;0,00;;0,00
"RUA 7 DE SETEMBRO (VILA SÃO PEDRO)";"local";217,00;;0,00;;0,00
"RUA 9 DE JULHO (VILA SÃO PEDRO)";"local";59,00;;0,00;;0,00
"RUA 9 DE JULHO (VILA SÃO PEDRO)";"local";59,00;;0,00;;0,00
"RUA AGENOR SÉRGIO DE OLIVEIRA";"local";127,00;;0,00;;0,00
"RUA ÁGUIA DOURADA";"local";301,00;;0,00;;0,00
"RUA ALAESTE GARGANTINI";"local";128,00;;0,00;;0,00
