"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA 31 DE MARÇO";"arterial";3160,00;;0,00;;0,00
"AVENIDA CÉZAR MAGNANI";"arterial";479,00;;0,00;;479,00
"AVENIDA NOVA LIONS";"arterial";1499,00;;0,00;;0,00
"RUA M.M.D.C.";"arterial";1367,00;;407,00;;960,00
"RUA DRÁUSIO";"coletora";1260,00;;1260,00;;0,00
"RUA FRANCISCO ALVES";"coletora";1815,00;;1615,00;;200,00
"RUA LÍBERO BADARÓ";"coletora";1309,00;;1309,00;;0,00
"RUA FERNÃO DIAS PAES LEME";"coletora";503,00;;0,00;;0,00
"AVENIDA CORONEL FRANCISCO RODRIGUES SECKLER";"local";118,00;;0,00;;118,00
"AVENIDA GASTÃO CASTRO CAMORIM";"local";18,00;;0,00;;0,00
"PRAÇA BARTHOLOMEU FERRERO";"local";104,00;;0,00;;0,00
"PRAÇA EUGÊNIO FANTI QUAGLIARINI";"local";197,00;;0,00;;0,00
"RUA 17 DE MARÇO";"local";759,00;;0,00;;759,00
"RUA ACLIMAÇÃO";"local";405,00;;0,00;;0,00
"RUA ÁGUA BRANCA";"local";141,00;;0,00;;141,00
"RUA ALMERINA CEMOLINE REBULCI";"local";309,00;;0,00;;309,00
"RUA ALTA SOROCABANA";"local";255,00;;0,00;;225,00
"RUA ALTO NOROESTE";"local";130,00;;130,00;;0,00
"RUA ALTO PARANÁ";"local";405,00;;405,00;;0,00
"RUA ÁLVARO ALVIM";"local";1740,00;;1740,00;;0,00
"RUA ÂNGELO GOBATO";"local";152,00;;0,00;;152,00
"RUA ANTENOR CORADI";"local";232,00;;0,00;;232,00
"RUA ANTÔNIO CERON";"local";110,00;;0,00;;110,00
"RUA APUCARANA";"local";80,00;;0,00;;0,00
"RUA ARNALDO PSOTA";"local";152,00;;0,00;;152,00
"RUA BARRA FUNDA";"local";148,00;;0,00;;148,00
"RUA BELÉM";"local";517,00;;0,00;;517,00
"RUA BENEDO RAGGIANI";"local";212,00;;0,00;;212,00
"RUA BOM RETIRO";"local";222,00;;0,00;;0,00
"RUA BRAZ";"local";210,00;;0,00;;0,00
"RUA BUTANTÃ";"local";200,00;;0,00;;200,00
"RUA CACIQUE TIBIRIÇÁ";"local";414,00;;0,00;;0,00
"RUA CAMARGO";"local";979,00;;0,00;;979,00
"RUA CANINDÉ";"local";147,00;;0,00;;147,00
