"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA IVAÍ";"arterial";223,0;;61,00;;0,00
"RUA DO  PORTO";"arterial";193,0;;60,00;;0,00
"RUA HEINRICH NORDHOFF";"arterial";226,00;;226,0;;0,00
"RUA MARCÍLIO CONRADO (TRECHO)";"arterial";801,00;;540,0;;261,00
"RUA RIO ACIMA";"arterial";865,00;;100,0;;400,00
"AVENIDA ARAGUAIA";"coletora";300,0;;0,00;;300,00
"AVENIDA AMAZONAS (RIACHO GRANDE)";"local";517,00;;0,00;;517,00
"AVENIDA DA  PRAIA";"local";301,00;;0,00;;301,00
"AVENIDA RIO XINGU";"local";535,00;;0,00;;535,00
"AVENIDA TOCANTINS";"local";388,00;;0,00;;388,00
"ESTRADA DO  RIO ACIMA";"local";459,00;;0,00;;459,00
"ESTRADA SIMÃO PORTELA (TRECHO)";"local";718,00;;600,00;;118,00
"PRAÇA INFANTE";"local";36,00;;0,00;;36,00
"PRAÇA MELVIN JONES";"local";154,00;;0,00;;154,00
"PRAÇA OLAVO FONTOURA";"local";34,00;;0,00;;34,00
"RUA 14 DE ABRIL (VILA PELE)";"local";295,00;;0,00;;295,00
"RUA AÇORES";"local";135,00;;0,00;;135,00
"RUA ADÔNIS";"local";144,00;;0,00;;144,00
"RUA ALBERTINO PINOTTI";"local";118,00;;0,00;;118,00
"RUA ALJUBARROTA";"local";913,00;;0,00;;913,00
"RUA AMANARI";"local";110,00;;0,00;;110,00
"RUA ANA RUSSO VESTRI";"local";203,00;;0,00;;203,00
"RUA ANÁPOLIS";"local";297,00;;0,00;;297,00
"RUA ÂNGELA GIANOTTO";"local";742,00;;0,00;;742,00
"RUA ANTONIO CAPUTO";"local";447,00;;0,00;;447,00
"RUA AUGUSTO PAULINO";"local";208,00;;0,00;;208,00
"RUA BECHELLI";"local";229,00;;0,00;;229,00
"RUA BELO MONTE";"local";135,00;;0,00;;135,00
"RUA BUSACO";"local";351,00;;0,00;;351,00
"RUA CILEI JOSÉ TIAGO";"local";105,00;;0,00;;105,00
"RUA CINTRA";"local";349,00;;0,00;;349,00
"RUA DA  CONQUISTA (VILA PELÉ)";"local";170,00;;0,00;;170,00
"RUA DA  QUADRA";"local";38,00;;0,00;;38,00
"RUA DAPHNIS";"local";277,00;;0,00;;277,00
"RUA DONA LUIZA";"local";153,00;;0,00;;153,00
"RUA JACIPORÃ (PARQUE RIO GRANDE)";"local";471,00;;0,00;;471,00
"RUA JOÃO D'ANGELO";"local";144,00;;0,00;;144,00
"RUA JOSÉ";"local";131,00;;0,00;;131,00
"RUA JOSÉ GEA";"local";337,00;;337,00;;0,00
"RUA JOSÉ GREGÓRIO DE MEDEIROS";"local";144,00;;0,00;;144,00
"RUA JOSEFA CAPUTO DE LAURO";"local";225,00;;0,00;;225,00
"RUA JOSEFINA NANI GEA";"local";292,00;;0,00;;292,00
"RUA JURITI";"local";259,00;;0,00;;259,00
"RUA LAMBARI";"local";191,00;;0,00;;191,00
"RUA MAFRA";"local";445,00;;0,00;;445,00
"RUA MARIA CAPUTO PAGANO";"local";317,00;;0,00;;317,00
"RUA NOSSA SENHORA DO CARMO";"local";147,00;;0,00;;147,00
"RUA NOVA (VILA PELÉ)";"local";141,00;;0,00;;141,00
"RUA PIRAQUARAS";"local";389,00;;0,00;;389,00
"RUA PORTUGAL";"local";1.092,00;;0,00;;1092,00
"RUA RIO GRANDE (PARQUE RIO GRANDE)";"local";630,00;;0,00;;630,00
"RUA ROLANDO MARQUES";"local";97,00;;0,00;;97,00
"RUA ROWENA";"local";96,00;;0,00;;96,00
"RUA SAGRES";"local";229,00;;0,00;;229,00
"RUA SANTA MARIA";"local";96,00;;0,00;;96,00
"RUA SEBASTIÃO DOMINGOS DA SILVA";"local";135,00;;318,00;;135,00
"RUA SEXTO GUAZELLI";"local";193,00;;0,00;;193,00
"RUA SOFIA D'ANGELO CAPUTO (TRECHO)";"local";423,00;;0,00;;200,00
"RUA TÂMIRIS";"local";318,00;;0,00;;318,00
"RUA VICENTINA CAPUTO PELOSINI";"local";154,00;;0,00;;154,00
"RUA VISTA ALEGRE";"local";230,00;;0,00;;230,00
