"logradouro";"tipo";"extensão";;"etapa1";;"etapa2"
"AVENIDA 31 DE MARÇO";"arterial";1461,00;;0,00;;0,00
"AVENIDA ÁGUA FUNDA";"arterial";913,00;;0,00;;913,00
"AVENIDA DO  TABOÃO";"arterial";6452,00;;0,00;;0,00
"RUA JAPÃO";"arterial";508,00;;0,00;;508,00
"AVENIDA 31 DE MARÇO";"arterial";1461,00;;0,00;;0,00
"RUA DR. VITAL BRASIL";"arterial";1480,00;;141,00;;0,00
"AVENIDA PRESIDENTE JOÃO GOULART";"arterial";390,00;;0,00;;390,00
"RUA EUGÊNIA S. VITALE";"coletora";1501,00;;141,00;;1360,00
"AVENIDA HELVÉTIA";"coletora";932,00;;0,00;;675,88
"RUA LUISIANA";"coletora";1233,00;;0,00;;1233,00
"RUA LUIZ FERIANI";"coletora";343,00;;343,00;;0,00
"AVENIDA GIOVANNI BATTISTIN - EX-COMBATENTE DA F.E.B.";"local";205,00;;0,00;;205,00
"AVENIDA OCTÁVIO CORLETTO - EX-COMBATENTE DA F.E.B.";"local";414,00;;0,00;;414,00
"AVENIDA OLINTO DEMARCHI - EX-COMBATENTE DA F.E.B.";"local";311,00;;0,00;;311,00
"AVENIDA ORLANDO ANGELO GASTALDO - EX-COMBATENTE DA F.E.B.";"local";225,00;;0,00;;225,00
"RUA AFONSO CELSO FIGUEIREDO";"local";331,00;;331,00;;0,00
"RUA ALBINO DOS SANTOS QUELHAS";"local";241,00;;241,00;;0,00
"RUA ALEMANHA";"local";489,00;;0,00;;489,00
"RUA ALFREDO BERNARDO LEITE";"local";1300,00;;1300,00;;0,00
"RUA ALFREDO DUMONT VILLARES";"local";115,00;;0,00;;0,00
"RUA ALMIRANTE TAMANDARÉ";"local";402,00;;0,00;;402,00
"RUA AMARO JOSÉ DOS SANTOS";"local";107,00;;107,00;;0,00
"RUA AMÉRICO MOLARI";"local";64,00;;64,00;;0,00
"RUA ANA MARIA";"local";205,00;;0,00;;0,00
