,FileName,lat,long
0,DJI_0001.MOV,-23.75716388888889,-46.59886388888889
1,DJI_0002.MOV,-23.761672222222224,-46.60152777777778
2,DJI_0003.MOV,-23.758230555555556,-46.59820555555556
3,DJI_0004.MOV,-23.762430555555557,-46.6006
4,DJI_0005.MOV,-23.75898611111111,-46.59733888888889
5,DJI_0006.MOV,-23.762994444444445,-46.5996
6,DJI_0007.MOV,-23.760275,-46.59688055555556
7,DJI_0008.MOV,-23.76273888888889,-46.59804166666667
8,DJI_0009.MOV,-23.76216388888889,-46.59555277777778
9,DJI_0010.MOV,-23.76198888888889,-46.59486666666667
10,DJI_0011.MOV,-23.76075,-46.59574166666667
11,DJI_0012.MOV,-23.762183333333333,-46.59614722222222
12,DJI_0013.MOV,-23.760719444444444,-46.601175000000005
13,DJI_0014.MOV,-23.762827777777776,-46.59934722222223
14,DJI_0015.MOV,-23.74749166666667,-46.57503888888889
15,DJI_0016.MOV,-23.746144444444447,-46.57780833333334
16,DJI_0017.MOV,-23.74795277777778,-46.57590555555556
17,DJI_0018.MOV,-23.746591666666667,-46.578900000000004
18,DJI_0019.MOV,-23.748419444444444,-46.576997222222225
19,DJI_0020.MOV,-23.74720277777778,-46.57877777777778
20,DJI_0021.MOV,-23.748852777777778,-46.57863888888889
21,DJI_0022.MOV,-23.74459166666667,-46.57536944444445
22,DJI_0023.MOV,-23.74610277777778,-46.576750000000004
23,DJI_0024.MOV,-23.748358333333336,-46.57866666666667
24,DJI_0025.MOV,-23.74691388888889,-46.57784166666667
25,DJI_0026.MOV,-23.745358333333336,-46.579213888888894
26,DJI_0027.MOV,-23.746502777777778,-46.57673055555556
27,DJI_0028.MOV,-23.744666666666667,-46.57871388888889
28,DJI_0029.MOV,-23.745972222222225,-46.57581944444445
29,DJI_0030.MOV,-23.74256388888889,-46.57903055555556
30,DJI_0031.MOV,-23.745486111111113,-46.57933888888889
31,DJI_0033.MOV,-23.7437,-46.57718611111112
32,DJI_0034.MOV,-23.744636111111113,-46.57973611111112
33,DJI_0035.MOV,-23.743325000000002,-46.57848888888889
34,DJI_0036.MOV,-23.74396666666667,-46.57861666666667
35,DJI_0037.MOV,-23.743011111111112,-46.57886944444445
36,DJI_0038.MOV,-23.743647222222222,-46.58080833333334
37,DJI_0039.MOV,-23.742758333333335,-46.57860555555556
38,DJI_0040.MOV,-23.741641666666666,-46.57473055555556
39,DJI_0041.MOV,-23.742161111111113,-46.575633333333336
40,DJI_0042.MOV,-23.739227777777778,-46.58107777777778
41,DJI_0043.MOV,-23.737177777777777,-46.583672222222226
42,DJI_0044.MOV,-23.736580555555555,-46.57959166666667
43,DJI_0045.MOV,-23.737733333333335,-46.58295555555556
44,DJI_0046.MOV,-23.73732222222222,-46.57963055555556
45,DJI_0047.MOV,-23.738433333333333,-46.582861111111114
46,DJI_0048.MOV,-23.73810277777778,-46.57967222222223
47,DJI_0049.MOV,-23.73926666666667,-46.58316388888889
